site,outcome,model,term,n,events,subdistribution_hazard_ratio,conf_low,conf_high,p_value,adjustment_set
UCMC,Successful extubation,PM25 single-pollutant,pm25_per_5,13380,4471,0.8556088771094796,0.7050843919065823,1.0382679846436556,0.11420499890871307,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Successful extubation,NO2 single-pollutant,no2_per_10,13380,4471,0.8025525540157503,0.6839011650304745,0.9417890111775191,0.007045078474901419,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Successful extubation,PM25 + NO2,pm25_per_5,13380,4471,0.9454364515182861,0.7658655532061117,1.1671109636901682,0.6016149836960996,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Successful extubation,PM25 + NO2,no2_per_10,13380,4471,0.8180953259675404,0.6868622265101297,0.9744020511514703,0.024407955789512503,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Death,PM25 single-pollutant,pm25_per_5,13380,1992,1.3893156480166071,1.0227871667201138,1.8871941618250714,0.035365509058591524,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Death,NO2 single-pollutant,no2_per_10,13380,1992,1.2861899694052747,0.9954541200549726,1.6618391587021468,0.05421514358195911,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Death,PM25 + NO2,pm25_per_5,13380,1992,1.2873862554990454,0.930479818741227,1.781192173614222,0.12726348898186002,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Death,PM25 + NO2,no2_per_10,13380,1992,1.1931313846644276,0.9098044641626094,1.5646906089667427,0.20174620377044966,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Persistent respiratory failure,PM25 single-pollutant,pm25_per_5,13380,353,0.3955294309618961,0.18758054273803634,0.8340072401620081,0.014816136469448188,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Persistent respiratory failure,NO2 single-pollutant,no2_per_10,13380,353,2.1774695402211157,1.1611247962439832,4.08343152598945,0.015281933528082856,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Persistent respiratory failure,PM25 + NO2,pm25_per_5,13380,353,0.22745200900747578,0.09605686232094174,0.5385811606950439,7.599208262390794e-4,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
UCMC,Persistent respiratory failure,PM25 + NO2,no2_per_10,13380,353,3.262116064884766,1.658899163243984,6.414736625684932,6.102816297738437e-4,age_10 + sex + race_ethnicity + charlson_score + index_year_f + acs_pct_poverty + acs_pct_unemployed + acs_pct_no_vehicle + acs_pct_nonwhite + acs_median_household_income_10k + acs_pct_bachelor_plus
