pollutant,exposure_quartile,event_code,n,outcome
PM2.5,Q1,0,1870,Censored
PM2.5,Q1,1,1390,Successful extubation
PM2.5,Q1,2,461,Death
PM2.5,Q1,3,100,Persistent respiratory failure
PM2.5,Q2,0,1937,Censored
PM2.5,Q2,1,1203,Successful extubation
PM2.5,Q2,2,583,Death
PM2.5,Q2,3,107,Persistent respiratory failure
PM2.5,Q3,0,1851,Censored
PM2.5,Q3,1,1247,Successful extubation
PM2.5,Q3,2,618,Death
PM2.5,Q3,3,98,Persistent respiratory failure
PM2.5,Q4,0,1768,Censored
PM2.5,Q4,1,1355,Successful extubation
PM2.5,Q4,2,601,Death
PM2.5,Q4,3,95,Persistent respiratory failure
NO2,Q1,0,1844,Censored
NO2,Q1,1,1513,Successful extubation
NO2,Q1,2,402,Death
NO2,Q1,3,65,Persistent respiratory failure
NO2,Q2,0,1783,Censored
NO2,Q2,1,1364,Successful extubation
NO2,Q2,2,572,Death
NO2,Q2,3,101,Persistent respiratory failure
NO2,Q3,0,1887,Censored
NO2,Q3,1,1165,Successful extubation
NO2,Q3,2,675,Death
NO2,Q3,3,94,Persistent respiratory failure
NO2,Q4,0,1913,Censored
NO2,Q4,1,1153,Successful extubation
NO2,Q4,2,614,Death
NO2,Q4,3,140,Persistent respiratory failure
